model,model_revision,dataset,condition,condition_code,evaluated_items,subset_target_rows,subset_replicate,subset_membership_sha256,effective_batch_size,precision_or_quantization,max_pixels_override,accuracy_pct,delta_accuracy_pp,bias_score,bias_assessable_n,bias_null_n,bias_present_n,bias_present_rate,reasoning_quality_score,judgeable_n,runtime_min,nvml_gpu_energy_kwh,operational_co2e_kg,estimated_water_primary_low_l,estimated_water_primary_high_l
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M0 baseline,M0,2000,,,,1,BF16,,88.9,0.0,5.6395,2000,0,249,0.1245,88.655,2000,53.1856,0.1811976661111111,0.010690662300555554,0.3893527389806785,0.8652283088459523
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M1 larger batch,M1,2000,,,,8,BF16,,88.7,-0.2,5.6115,2000,0,240,0.12,88.697,2000,11.9813,0.040171702777777776,0.002370130463888889,0.08648863570135054,0.19219696822522342
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M2 INT8,M2,2000,,,,1,INT8,,88.75,-0.15,5.5853,1999,1,254,0.1271,88.6035,2000,436.5429,0.771184646111111,0.04549989412055555,2.137900015404682,4.750888923121516
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M3 INT4,M3,2000,,,,1,INT4,,84.45,-4.45,6.6918,1999,1,289,0.1446,86.4705,2000,56.7527,0.15023637499999998,0.008863946124999997,0.3373428159442112,0.7496507020982471
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 75%,M4,1500,1500,,d697ab3a896b5b9cecdd71d4c8faaa72bf04c174b7b5b4fcfd7847b941a56098,1,BF16,,88.666667,-0.233333,5.894,1500,0,191,0.1273,88.5653,1500,39.8358,0.13552409333333332,0.007995921506666667,0.29118097476836047,0.6470688328185789
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 50% rep1,M4,1000,1000,1,d268e1ec695766061b067b5f9f0ed6571dc5c1f359d175f8e912bb7694efe357,1,BF16,,88.7,-0.2,5.914,1000,0,127,0.127,88.297,1000,26.9249,0.09012072194444444,0.005317122594722222,0.19421465154630396,0.43158811454734214
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 50% rep2,M4,1000,1000,2,bc5c9464622b22f2253fc8658e49c89a285db98569625c350af4a9f7d0d89a43,1,BF16,,88.5,-0.4,5.985,1000,0,128,0.128,88.235,1000,26.6249,0.09149305944444446,0.005398090507222223,0.19628062666175042,0.43617917035944537
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 50% rep3,M4,1000,1000,3,f41566b99ae1b531eec06a42355ce73f85bf818bedc2242c610e3cb27337261b,1,BF16,,88.6,-0.3,5.985,1000,0,128,0.128,88.267,1000,26.7982,0.08996681833333332,0.005308042281666666,0.1937393063826687,0.430531791961486
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 50% rep4,M4,1000,1000,4,43ccdf646ab7c852414d2cc6e8c0b984e37b68a38abadea30cf2ea391416db4f,1,BF16,,88.6,-0.3,5.975,1000,0,126,0.126,88.345,1000,26.4035,0.09114149805555555,0.005377348385277777,0.19541002954788544,0.4342445101064121
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq,M4 reduced 50% rep5,M4,1000,1000,5,27ebaf6830cd1fc575b62534168e4321bddc036928cd0531ea21a46b89b35dc3,1,BF16,,88.5,-0.4,6.099,1000,0,128,0.128,88.283,1000,26.8495,0.08998497388888889,0.005309113459444444,0.19389111933027067,0.43086915406726817
