dataset,model,condition,fraction,metric,frozen_signed_error,frozen_abs_error,mc_n_draws,mc_signed_error_p2_5,mc_signed_error_p97_5,empirical_percentile_of_signed_error,empirical_percentile_of_abs_error,outside_central_95pct_mc_interval,characterization
bbq,qwen25_vl_7b,M4 reduced 75%,75%,accuracy,-0.0023333333333332,0.0023333333333332,1000,-0.008333333333333304,0.008333333333333304,39.2,32.300000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 75%,75%,bias_score,0.2545000000000001,0.2545000000000001,1000,-0.40019999999999967,0.46390000000000015,83.5,72.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 75%,75%,bias_present_rate,0.0028333333333333,0.0028333333333333,1000,-0.008499999999999994,0.010166666666666657,64.1,40.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 75%,75%,bias_cond_severity,1.1694947328581335,1.1694947328581335,1000,-2.0630642285580096,1.9198310633839701,87.8,75.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 75%,75%,reasoning_quality,-0.0896666666666732,0.0896666666666732,1000,-0.3570666666666661,0.3497499999999973,35.199999999999996,36.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep1,50%,accuracy,-0.002,0.002,1000,-0.014000000000000012,0.015000000000000013,40.8,16.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep1,50%,bias_score,0.2744999999999997,0.2744999999999997,1000,-0.7720749999999996,0.7195999999999999,76.1,51.9,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep1,50%,bias_present_rate,0.0025,0.0025,1000,-0.0165,0.014500000000000013,62.0,18.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep1,50%,bias_cond_severity,1.4278531448629153,1.4278531448629153,1000,-3.4516115544026156,3.584978821536146,76.6,55.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep1,50%,reasoning_quality,-0.3580000000000041,0.3580000000000041,1000,-0.6021250000000038,0.6383500000000049,11.899999999999999,74.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep2,50%,accuracy,-0.004,0.004,1000,-0.014000000000000012,0.015000000000000013,31.900000000000002,35.3,False,typical (within central 95% of independent stratified draws)
