dataset,model,row_type,condition_or_comparison,context_condition,question_polarity,n_rows,n_judgeable,accuracy,rq,bias_score,bias_present_rate,bias_cond_severity,bias_null_rate,low_n,n_total_in_cell,accuracy_n,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,rq_n,rq_delta,rq_ci_lo,rq_ci_hi,bias_score_n,bias_score_delta,bias_score_ci_lo,bias_score_ci_hi,bias_present_rate_n,bias_present_rate_delta,bias_present_rate_ci_lo,bias_present_rate_ci_hi
bbq,qwen25_vl_7b,delta,M3,ambig,neg,,,,,,,,,False,500.0,500.0,-0.066,-0.08999999999999997,-0.04399999999999993,500.0,-3.232,-4.60799999999999,-1.8699500000000049,500.0,2.014,0.6618999999999999,3.434049999999999,500.0,0.038,0.013999999999999999,0.062
bbq,qwen25_vl_7b,delta,M3,ambig,nonneg,,,,,,,,,False,500.0,500.0,-0.116,-0.14400000000000002,-0.08795000000000024,500.0,-5.138,-6.736150000000004,-3.5759500000000077,499.0,1.8296593186372745,0.6913326653306616,3.0101999999999993,499.0,0.056112224448897796,0.02811244979919679,0.08217259468635457
bbq,qwen25_vl_7b,delta,M3,ambig,ALL,,,,,,,,,False,1000.0,1000.0,-0.091,-0.1100250000000001,-0.0729750000000001,1000.0,-4.185,-5.22102499999999,-3.0949249999999995,999.0,1.921921921921922,1.0189435435435439,2.8415825554742304,999.0,0.04704704704704705,0.02902902902902904,0.06706706706706708
bbq,qwen25_vl_7b,delta,M3,disambig,neg,,,,,,,,,False,500.0,500.0,-0.002,-0.01200000000000001,0.008000000000000007,500.0,-0.088,-0.698200000000007,0.5140500000000092,500.0,0.682,-0.33655000000000024,1.772049999999999,500.0,0.006,-0.021999999999999992,0.032
bbq,qwen25_vl_7b,delta,M3,disambig,nonneg,,,,,,,,,False,500.0,500.0,0.006,-0.0040000000000000036,0.016000000000000014,500.0,-0.28,-1.3041000000000018,0.6961499999999972,500.0,-0.324,-1.4479999999999995,0.8021999999999985,500.0,-0.02,-0.048000000000000015,0.009999999999999981
bbq,qwen25_vl_7b,delta,M3,disambig,ALL,,,,,,,,,False,1000.0,1000.0,0.002,-0.006000000000000005,0.010000000000000009,1000.0,-0.184,-0.7170499999999986,0.3750999999999996,1000.0,0.179,-0.5960500000000001,0.9531249999999988,1000.0,-0.007,-0.025999999999999995,0.01100000000000001
bbq,qwen25_vl_7b,delta,M3,ALL,neg,,,,,,,,,False,1000.0,1000.0,-0.034,-0.04700000000000004,-0.02200000000000002,1000.0,-1.66,-2.4270750000000065,-0.8939249999999916,1000.0,1.348,0.4719500000000004,2.21005,1000.0,0.022,0.0030000000000000027,0.04000000000000001
bbq,qwen25_vl_7b,delta,M3,ALL,nonneg,,,,,,,,,False,1000.0,1000.0,-0.055,-0.06902499999999995,-0.041000000000000036,1000.0,-2.709,-3.662149999999992,-1.7927749999999933,999.0,0.7517517517517518,-0.06502996489468445,1.56546878134403,999.0,0.018018018018018018,-0.0010010010010010062,0.03711226551139363
bbq,qwen25_vl_7b,delta,M3,ALL,ALL,,,,,,,,,False,2000.0,2000.0,-0.0445,-0.05499999999999994,-0.034499999999999975,2000.0,-2.1845,-2.794599999999999,-1.5959750000000037,1999.0,1.0500250125062531,0.4493757132132134,1.639644146397523,1999.0,0.02001000500250125,0.006503170335167566,0.03350041895947974
bbq,qwen3_vl_30b_a3b,delta,M3,ambig,neg,,,,,,,,,False,500.0,500.0,-0.072,-0.09800000000000009,-0.04799999999999993,500.0,-4.096,-5.4765,-2.7698499999999973,499.0,2.278557114228457,0.7890777108433735,3.9399799599198393,499.0,0.052104208416833664,0.026052104208416832,0.0783132530120482
bbq,qwen3_vl_30b_a3b,delta,M3,ambig,nonneg,,,,,,,,,False,500.0,500.0,-0.072,-0.09999999999999998,-0.04400000000000004,500.0,-4.016,-5.544349999999997,-2.4879999999999995,500.0,1.038,-0.056050000000000044,2.2639999999999993,500.0,0.008,-0.018000000000000016,0.032
bbq,qwen3_vl_30b_a3b,delta,M3,ambig,ALL,,,,,,,,,False,1000.0,1000.0,-0.072,-0.09299999999999997,-0.052999999999999936,1000.0,-4.056,-5.151099999999996,-3.0308999999999924,999.0,1.6576576576576576,0.6853614729458913,2.712862862862862,999.0,0.03003003003003003,0.01100000000000001,0.049120741482965816
