dataset,model,comparison_id,field,value,n_total_in_stratum,accuracy_n,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,rq_n,rq_delta,rq_ci_lo,rq_ci_hi,bias_score_n,bias_score_delta,bias_score_ci_lo,bias_score_ci_hi,bias_present_rate_n,bias_present_rate_delta,bias_present_rate_ci_lo,bias_present_rate_ci_hi,low_n
bbq,qwen25_vl_7b,M3,category,Age,180,180,-0.08888888888888889,-0.1421743697478991,-0.04166666666666663,180,-4.022222222222222,-7.079107830551992,-1.242771136521138,180,3.511111111111111,1.8072656250000003,5.36005706691682,180,0.06666666666666667,0.00843163078332568,0.12778100775193799,False
bbq,qwen25_vl_7b,M3,category,Disability_status,180,180,-0.05,-0.08510940522243715,-0.01743195031712482,180,-3.2888888888888888,-5.27178634751773,-1.5048749999999962,180,1.1555555555555554,-1.2868484555984563,3.575163043478259,180,0.022222222222222223,-0.020833333333333343,0.06410714285714285,False
bbq,qwen25_vl_7b,M3,category,Gender_identity,184,184,-0.016304347826086956,-0.04891789596273291,0.019230769230769273,184,-1.1467391304347827,-3.357181677018624,1.1531409438775582,183,0.14207650273224043,-1.34714294103829,1.6670930232558119,183,-0.00546448087431694,-0.04430379746835443,0.03290570175438591,False
bbq,qwen25_vl_7b,M3,category,Nationality,180,180,-0.03888888888888889,-0.07051630434782617,-0.010000000000000009,180,-0.8777777777777778,-2.565497448979591,0.7658922697368403,180,-0.15555555555555556,-1.7286810064935065,1.569066133720929,180,-0.005555555555555556,-0.05434782608695651,0.04376512096774185,False
bbq,qwen25_vl_7b,M3,category,Physical_appearance,180,180,-0.06666666666666667,-0.11957087862318838,-0.022727272727272707,180,-3.9833333333333334,-6.3155319940476184,-1.845345744680863,180,1.6,-0.5076378676470583,3.9324324324324325,180,0.07222222222222222,0.00831439393939394,0.14206574675324665,False
bbq,qwen25_vl_7b,M3,category,Race_ethnicity,184,184,-0.043478260869565216,-0.07293198529411761,-0.017043046995377554,184,-1.2934782608695652,-3.137642973856212,0.5579687499999972,184,1.576086956521739,0.0763408687943262,3.3909784226190456,184,-0.010869565217391304,-0.036589849354375904,0.015155380333951743,False
bbq,qwen25_vl_7b,M3,category,Race_x_SES,184,184,-0.04891304347826087,-0.08750000000000002,-0.017045454545454586,184,-2.5489130434782608,-4.587242611434103,-0.9069126196990496,184,0.483695652173913,-0.40025943396226427,1.6283783783783783,184,0.016304347826086956,-0.006410256410256412,0.0472972972972973,False
bbq,qwen25_vl_7b,M3,category,Race_x_gender,184,184,-0.016304347826086956,-0.035017857142857066,0.0,184,-0.9619565217391305,-2.5197753359462594,0.42787828947368434,184,0.29891304347826086,-0.39893617021276584,1.3712715344551272,184,-0.010869565217391304,-0.03333333333333333,0.010209396258503374,False
bbq,qwen25_vl_7b,M3,category,Religion,180,180,-0.027777777777777776,-0.0611139455782313,0.0,180,-1.9277777777777778,-3.8034983291562114,-0.0365635888501694,180,0.2388888888888889,-2.621726190476191,2.883171961966602,180,0.016666666666666666,-0.03048780487804878,0.06916439881246898,False
bbq,qwen25_vl_7b,M3,category,SES,184,184,-0.043478260869565216,-0.07692307692307687,-0.013636363636363669,184,-1.8423913043478262,-3.52100694444444,-0.34209854994629013,184,1.875,-0.05213541666666723,3.744748062015501,184,0.043478260869565216,-0.008624470659407154,0.09146341463414634,False
bbq,qwen25_vl_7b,M3,category,Sexual_orientation,180,180,-0.05,-0.08002205882352947,-0.021276595744680882,180,-2.2055555555555557,-4.28125,-0.033759469696968865,180,0.8388888888888889,-1.9550833333333333,3.598111081654291,180,0.016666666666666666,-0.03125,0.06428571428571428,False
bbq,qwen3_vl_30b_a3b,M3,category,Age,180,180,0.011111111111111112,-0.028851744186046517,0.05232558139534882,180,-0.43333333333333335,-1.9750152439024333,1.2344277871621623,180,-0.7666666666666667,-3.0637692577030817,1.5245098039215685,180,-0.044444444444444446,-0.10417877906976745,0.014296218487394905,False
bbq,qwen3_vl_30b_a3b,M3,category,Disability_status,180,180,-0.05555555555555555,-0.09134615384615385,-0.023432957848837234,180,-2.1166666666666667,-4.535005946088788,0.08498890122086554,180,0.7333333333333333,-2.146111918604652,3.893035714285713,180,0.011111111111111112,-0.03704196217494089,0.05952380952380951,False
bbq,qwen3_vl_30b_a3b,M3,category,Gender_identity,184,184,-0.08695652173913043,-0.13237745098039214,-0.04069374607165314,184,-3.5,-5.883472222222215,-1.3868723098995608,184,2.141304347826087,0.609296875,4.169036223723723,184,0.04891304347826087,0.01666666666666667,0.08654336734693874,False
bbq,qwen3_vl_30b_a3b,M3,category,Nationality,180,180,-0.06666666666666667,-0.10577651515151522,-0.03191489361702138,180,-3.827777777777778,-6.408017135862917,-1.5490093954248347,180,2.6944444444444446,0.2064757545769419,5.381506485849055,180,0.07777777777777778,0.02906976744186046,0.12778100775193796,False
bbq,qwen3_vl_30b_a3b,M3,category,Physical_appearance,180,180,-0.011111111111111112,-0.033333333333333326,0.00877584586466166,180,-0.8166666666666667,-1.8597738230289274,0.04111170784102053,180,0.36666666666666664,-0.7085771276595741,1.5417119565217383,180,0.03333333333333333,-0.009999999999999995,0.08124999999999999,False
bbq,qwen3_vl_30b_a3b,M3,category,Race_ethnicity,184,184,-0.043478260869565216,-0.07927522172949009,-0.015625,184,-1.8804347826086956,-3.674968853820587,-0.25,183,0.1912568306010929,-1.3642120894479388,1.8981616951504063,183,0.0,-0.028575533661740562,0.03225806451612903,False
bbq,qwen3_vl_30b_a3b,M3,category,Race_x_SES,184,184,-0.02717391304347826,-0.05978260869565222,0.0,184,-1.2880434782608696,-3.1543402777777843,0.3287665066026388,184,-0.391304347826087,-1.0966761363636361,0.2959422831632654,184,-0.016304347826086956,-0.04081632653061225,0.005813953488372096,False
bbq,qwen3_vl_30b_a3b,M3,category,Race_x_gender,184,184,-0.059782608695652176,-0.09659090909090906,-0.027027027027026973,184,-2.983695652173913,-4.941313244047619,-1.1806266622340482,184,0.8967391304347826,-0.15932559288537557,2.306917997542997,184,0.010869565217391304,-0.01631340579710145,0.045,False
bbq,qwen3_vl_30b_a3b,M3,category,Religion,180,180,-0.03333333333333333,-0.0648194444444444,-0.00594892026578073,180,-1.0944444444444446,-2.9739683493589695,0.6046664626682893,180,0.4888888888888889,-2.1916666666666664,3.2258518651362964,180,0.011111111111111112,-0.03977272727272724,0.05921835839598995,False
bbq,qwen3_vl_30b_a3b,M3,category,SES,184,184,-0.043478260869565216,-0.08152173913043481,-0.011627906976744207,184,-2.152173913043478,-3.5705357142857115,-0.7963623507228204,184,-0.625,-1.7561095956354298,0.4553240740740723,184,-0.02717391304347826,-0.07144841269841272,0.011627906976744179,False
bbq,qwen3_vl_30b_a3b,M3,category,Sexual_orientation,180,180,-0.044444444444444446,-0.09756097560975607,0.004636437908496715,180,-3.2055555555555557,-5.801300262237758,-0.9934151785714195,180,3.5833333333333335,0.3830241935483884,7.0139732142857065,180,0.06666666666666667,0.012195121951219523,0.12179487179487179,False
bbq_v,qwen25_vl_7b,M3,category,Age,222,222,-0.04054054054054054,-0.06329784381034113,-0.017699115044247815,222,-1.7927927927927927,-5.066055967841684,1.1542857142857181,222,-0.963963963963964,-2.3069918007425736,0.33165724227925175,222,0.02252252252252252,-0.019801980198019806,0.06338475769873475,False
bbq_v,qwen25_vl_7b,M3,category,Disability_status,222,222,-0.036036036036036036,-0.06018518518518512,-0.011537356321839155,222,-1.4009009009009008,-3.7250373931623875,0.8417967546472168,221,0.9864253393665159,-0.8965216977540925,2.7417109857641666,221,0.04072398190045249,0.009610849056603768,0.07330807384954528,False
