dataset,model,comparison_id,bias_group,n_total_in_group,accuracy_n,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,rq_n,rq_delta,rq_ci_lo,rq_ci_hi,bias_score_n,bias_score_delta,bias_score_ci_lo,bias_score_ci_hi,bias_present_rate_n,bias_present_rate_delta,bias_present_rate_ci_lo,bias_present_rate_ci_hi,low_n
bbq,qwen25_vl_7b,M3,old,104,104,-0.09615384615384616,-0.166733870967742,-0.0357142857142857,104,-4.625,-8.696517857142855,-0.9227499999999985,104,4.576923076923077,1.89948275862069,7.295738636363635,104,0.10576923076923077,0.022727272727272763,0.18999999999999997,False
bbq,qwen25_vl_7b,M3,nonOld,76,76,-0.07894736842105263,-0.15384615384615385,-0.010869565217391242,76,-3.1973684210526314,-7.984097222222223,0.9050595238095296,76,2.0526315789473686,0.516640625,3.8575892857142837,76,0.013157894736842105,-0.05263157894736842,0.0882615546218486,False
bbq,qwen25_vl_7b,M3,disabled,180,180,-0.05,-0.08510940522243715,-0.01743195031712482,180,-3.2888888888888888,-5.27178634751773,-1.5048749999999962,180,1.1555555555555554,-1.2868484555984563,3.575163043478259,180,0.022222222222222223,-0.020833333333333343,0.06410714285714285,False
bbq,qwen25_vl_7b,M3,physically disabled,56,56,-0.03571428571428571,-0.08826155462184876,0.0,56,-1.2142857142857142,-3.916826923076914,0.9108630952380863,56,-0.75,-3.172439236111111,1.7064171122994625,56,-0.05357142857142857,-0.11117424242424244,0.0,False
bbq,qwen25_vl_7b,M3,F,116,116,0.0,-0.044642857142857095,0.050000000000000044,116,-1.0862068965517242,-4.140294642857143,1.661241883116886,115,0.17391304347826086,-1.5909801136363635,2.0639318885448876,115,0.0,-0.04201901813356922,0.040348998887652796,False
bbq,qwen25_vl_7b,M3,obese,56,56,-0.125,-0.25,-0.02777777777777779,56,-8.214285714285714,-12.651057692307697,-3.6666666666666714,56,3.1964285714285716,-1.9862867647058824,8.938020833333331,56,0.125,0.016666666666666663,0.25,False
bbq,qwen25_vl_7b,M3,negDress,68,68,-0.029411764705882353,-0.1071428571428571,0.0357142857142857,68,-1.5735294117647058,-5.116874999999993,1.482276785714289,68,-0.35294117647058826,-3.1073051948051953,2.577187499999999,68,0.029411764705882353,-0.09375,0.16666666666666663,False
bbq,qwen25_vl_7b,M3,Black,272,272,-0.022058823529411766,-0.045454545454545525,-0.004460437192118231,272,-1.0110294117647058,-2.6574900793650764,0.4501923076923095,272,0.8529411764705882,-0.0035614730046947102,2.0404565322972306,272,-0.003676470588235294,-0.02054794520547945,0.012505296610169463,False
bbq,qwen25_vl_7b,M3,African American,272,272,-0.022058823529411766,-0.045454545454545525,-0.004460437192118231,272,-1.0110294117647058,-2.6574900793650764,0.4501923076923095,272,0.8529411764705882,-0.0035614730046947102,2.0404565322972306,272,-0.003676470588235294,-0.02054794520547945,0.012505296610169463,False
bbq,qwen25_vl_7b,M3,Hispanic,152,152,-0.039473684210526314,-0.0703125,-0.012820512820512886,152,-1.993421052631579,-3.856718749999989,-0.2588442460317446,152,1.644736842105263,-0.12521802325581394,3.734274193548385,152,0.0,-0.025866558908045973,0.027045795795795694,False
bbq,qwen25_vl_7b,M3,Latino,152,152,-0.039473684210526314,-0.0703125,-0.012820512820512886,152,-1.993421052631579,-3.856718749999989,-0.2588442460317446,152,1.644736842105263,-0.12521802325581394,3.734274193548385,152,0.0,-0.025866558908045973,0.027045795795795694,False
bbq,qwen25_vl_7b,M3,Asian,84,84,-0.07142857142857142,-0.1346153846153847,-0.017857142857142905,84,-3.1904761904761907,-6.076107859531782,-0.8191506410256411,84,0.38095238095238093,-0.813383152173913,2.2509868421052577,84,0.023809523809523808,0.0,0.08333333333333333,False
bbq,qwen25_vl_7b,M3,White,72,72,-0.027777777777777776,-0.06821338383838378,0.0,72,-1.9305555555555556,-4.100234374999994,-0.3815789473684248,72,0.5555555555555556,-1.0657894736842106,2.9130434782608696,72,0.0,-0.041666666666666664,0.041666666666666664,False
bbq,qwen25_vl_7b,M3,low SES,184,184,-0.043478260869565216,-0.07692307692307687,-0.013636363636363669,184,-1.8423913043478262,-3.52100694444444,-0.34209854994629013,184,1.875,-0.05213541666666723,3.744748062015501,184,0.043478260869565216,-0.008624470659407154,0.09146341463414634,False
bbq,qwen25_vl_7b,M3,gay,80,80,-0.05,-0.0972373188405798,-0.011363636363636461,80,-1.95,-5.3817616959064365,1.513219572368414,80,0.2125,-4.639479166666667,4.859978260869557,80,0.025,-0.05000000000000002,0.10714285714285715,False
bbq,qwen3_vl_30b_a3b,M3,old,104,104,0.028846153846153848,-0.03125,0.09523809523809523,104,0.5865384615384616,-1.3790056818181924,2.7946841931216966,104,-0.7884615384615384,-3.795760489510489,2.2000403225806444,104,-0.038461538461538464,-0.125,0.04547558922558913,False
bbq,qwen3_vl_30b_a3b,M3,nonOld,76,76,-0.013157894736842105,-0.05882352941176472,0.03125,76,-1.8289473684210527,-4.37578125,0.9003260869565117,76,-0.7368421052631579,-4.580411184210527,2.5263523391812863,76,-0.05263157894736842,-0.13043478260869565,0.033333333333333326,False
bbq,qwen3_vl_30b_a3b,M3,disabled,180,180,-0.05555555555555555,-0.09134615384615385,-0.023432957848837234,180,-2.1166666666666667,-4.535005946088788,0.08498890122086554,180,0.7333333333333333,-2.146111918604652,3.893035714285713,180,0.011111111111111112,-0.03704196217494089,0.05952380952380951,False
bbq,qwen3_vl_30b_a3b,M3,physically disabled,56,56,-0.05357142857142857,-0.11111111111111116,0.0,56,-2.5,-5.752403846153846,0.0714285714285694,56,0.05357142857142857,-3.446874999999999,3.5773437499999976,56,-0.017857142857142856,-0.07825520833333333,0.04999999999999999,False
bbq,qwen3_vl_30b_a3b,M3,F,116,116,-0.11206896551724138,-0.1774481566820277,-0.045454545454545525,116,-4.663793103448276,-8.1291267641129,-1.5097500000000064,116,3.163793103448276,0.75,6.425128299120231,116,0.06896551724137931,0.022702569169960468,0.125,False
bbq,qwen3_vl_30b_a3b,M3,obese,56,56,-0.017857142857142856,-0.05769230769230771,0.0,56,-0.6964285714285714,-1.7954545454545467,0.2778645833333267,56,1.9285714285714286,-0.30000000000000004,4.750624999999997,56,0.05357142857142857,0.0,0.13636363636363635,False
bbq,qwen3_vl_30b_a3b,M3,negDress,68,68,-0.029411764705882353,-0.07148109243697487,0.0,68,-0.7647058823529411,-3.654166666666673,1.2969531249999995,68,-0.3088235294117647,-2.3095238095238093,1.65,68,0.04411764705882353,-0.04166666666666667,0.14285714285714285,False
bbq,qwen3_vl_30b_a3b,M3,Black,272,272,-0.051470588235294115,-0.08088494200497105,-0.02611745957711446,272,-2.375,-3.8642505525416837,-1.0341887019230753,272,0.5514705882352942,-0.22507352941176437,1.6973974458204333,272,0.007352941176470588,-0.015436921296296296,0.035738095238095104,False
bbq,qwen3_vl_30b_a3b,M3,African American,272,272,-0.051470588235294115,-0.08088494200497105,-0.02611745957711446,272,-2.375,-3.8642505525416837,-1.0341887019230753,272,0.5514705882352942,-0.22507352941176437,1.6973974458204333,272,0.007352941176470588,-0.015436921296296296,0.035738095238095104,False
bbq,qwen3_vl_30b_a3b,M3,Hispanic,152,152,-0.03289473684210526,-0.0625,-0.007352941176470562,152,-2.3947368421052633,-4.147940340909084,-0.9929315476190499,151,-0.4768211920529801,-1.6982451231212026,0.5338341471557944,151,-0.019867549668874173,-0.05050646918624446,0.007753452034883712,False
bbq,qwen3_vl_30b_a3b,M3,Latino,152,152,-0.03289473684210526,-0.0625,-0.007352941176470562,152,-2.3947368421052633,-4.147940340909084,-0.9929315476190499,151,-0.4768211920529801,-1.6982451231212026,0.5338341471557944,151,-0.019867549668874173,-0.05050646918624446,0.007753452034883712,False
bbq,qwen3_vl_30b_a3b,M3,Asian,84,84,-0.023809523809523808,-0.0625,0.0,84,-1.1547619047619047,-3.200113636363639,0.958437499999995,84,-0.44047619047619047,-1.4265588235294115,0.15476190476190466,84,0.0,-0.03571428571428571,0.03409090909090909,False
bbq,qwen3_vl_30b_a3b,M3,White,72,72,-0.041666666666666664,-0.1166666666666667,0.02083333333333337,72,-1.6666666666666667,-6.411796675191825,2.2503289473684194,72,-0.9305555555555556,-2.3197083333333337,0.0,72,-0.041666666666666664,-0.09210526315789473,0.0,False
bbq,qwen3_vl_30b_a3b,M3,low SES,184,184,-0.043478260869565216,-0.08152173913043481,-0.011627906976744207,184,-2.152173913043478,-3.5705357142857115,-0.7963623507228204,184,-0.625,-1.7561095956354298,0.4553240740740723,184,-0.02717391304347826,-0.07144841269841272,0.011627906976744179,False
bbq,qwen3_vl_30b_a3b,M3,gay,80,80,0.0125,-0.04349424552429675,0.06821338383838371,80,-1.725,-4.703255208333333,1.1632169117646964,80,3.8125,-1.2116847826086958,9.211979166666662,80,0.0625,-0.021739130434782622,0.1388888888888889,False
bbq_v,qwen25_vl_7b,M3,old,100,100,-0.03,-0.0641025641025641,0.0,100,-5.99,-11.42515086206897,-0.7200550043140689,100,-1.41,-3.9219259510869566,0.6154069767441864,100,0.03,-0.020844414893617002,0.08333333333333334,False
bbq_v,qwen25_vl_7b,M3,nonOld,122,122,-0.04918032786885246,-0.08333333333333337,-0.015866815476190562,122,1.6475409836065573,-1.2452205882352847,4.338862625139047,122,-0.5983606557377049,-2.1311099439775916,0.9682970412234035,122,0.01639344262295082,-0.050018115942029,0.07692307692307693,False
bbq_v,qwen25_vl_7b,M3,disabled,222,222,-0.036036036036036036,-0.06018518518518512,-0.011537356321839155,222,-1.4009009009009008,-3.7250373931623875,0.8417967546472168,221,0.9864253393665159,-0.8965216977540925,2.7417109857641666,221,0.04072398190045249,0.009610849056603768,0.07330807384954528,False
bbq_v,qwen25_vl_7b,M3,physically disabled,74,74,-0.05405405405405406,-0.10295385395537533,-0.01189784053156146,74,-3.5135135135135136,-6.241594827586205,-0.6145270270270295,74,2.824324324324324,0.6921875000000002,5.4828920361247935,74,0.06756756756756757,0.020833333333333336,0.11540697674418593,False
bbq_v,qwen25_vl_7b,M3,mentally-ill,58,58,-0.034482758620689655,-0.08333333333333337,0.0,58,1.2241379310344827,-3.0125551470588126,5.852430555555548,58,1.3448275862068966,0.0,4.277777777777778,58,0.034482758620689655,0.0,0.08338414634146313,False
bbq_v,qwen25_vl_7b,M3,F,128,128,-0.03125,-0.06818181818181812,0.0,128,-2.640625,-5.127538515406174,-0.17695044948630262,128,0.828125,0.0431034482758621,1.8819081439393934,128,0.03125,0.0,0.07017543859649122,False
bbq_v,qwen25_vl_7b,M3,M,59,59,0.0,-0.0492008196721312,0.050000000000000044,59,-3.3559322033898304,-7.916964285714276,1.4647321428571345,59,0.0,0.0,0.0,59,0.0,0.0,0.0,False
bbq_v,qwen25_vl_7b,M3,Eritrean,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Ethiopian,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Kenyan,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Guinean,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Mozambican,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Nigerian,104,104,0.009615384615384616,0.0,0.030494840525328318,104,-4.5576923076923075,-8.17054100790514,-2.1888865427927984,104,-0.6442307692307693,-2.0431543151969978,0.0,104,-0.009615384615384616,-0.030494840525328328,0.0,False
bbq_v,qwen25_vl_7b,M3,Namibian,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Malian,76,76,0.013157894736842105,0.0,0.038461538461538436,76,-6.065789473684211,-10.83350000000001,-3.0143382352941206,76,-0.881578947368421,-2.576923076923077,0.0,76,-0.013157894736842105,-0.038461538461538464,0.0,False
bbq_v,qwen25_vl_7b,M3,Vietnamese,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Thai,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Indonesian,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Burmese,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Japanese,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Korean,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,Chinese,51,51,-0.0392156862745098,-0.09523809523809523,0.0,51,-4.607843137254902,-7.603166154521502,-0.7726398601398681,51,0.8235294117647058,-3.2751470588235283,4.673469387755102,51,0.0,-0.11495358090185676,0.08825163398692802,False
bbq_v,qwen25_vl_7b,M3,obese,66,66,0.0,-0.044117647058823595,0.04256079027355614,66,1.303030303030303,-2.757808880308876,5.241319444444448,66,1.7121212121212122,-1.984869431643624,5.278503787878783,66,-0.030303030303030304,-0.1477377946127946,0.0862256371814092,False
bbq_v,qwen25_vl_7b,M3,negDress,84,84,-0.07142857142857142,-0.15386904761904763,-0.01189784053156146,84,-2.5476190476190474,-7.348505434782603,1.0131667852062662,83,-2.0,-7.412723577235772,2.2504704301075242,83,0.024096385542168676,-0.1142974238875878,0.1428968253968252,False
bbq_v,qwen25_vl_7b,M3,Black,148,148,-0.0945945945945946,-0.178094422700587,-0.02500000000000002,148,-1.7567567567567568,-5.339533011272142,1.7160466269841166,148,-0.30405405405405406,-2.8333333333333335,1.4788707037643198,148,0.006756756756756757,-0.030494840525328328,0.037500000000000006,False
bbq_v,qwen25_vl_7b,M3,African American,148,148,-0.0945945945945946,-0.178094422700587,-0.02500000000000002,148,-1.7567567567567568,-5.339533011272142,1.7160466269841166,148,-0.30405405405405406,-2.8333333333333335,1.4788707037643198,148,0.006756756756756757,-0.030494840525328328,0.037500000000000006,False
bbq_v,qwen25_vl_7b,M3,Muslim,55,55,0.0,0.0,0.0,55,1.2363636363636363,-6.085511734028694,7.3765624999999915,55,0.509090909090909,-0.5455168119551683,2.375,55,0.0,0.0,0.0,False
bbq_v,qwen25_vl_7b,M3,Mormon,66,66,-0.030303030303030304,-0.09090909090909083,0.0,66,-2.621212121212121,-7.5008333333333335,1.5122644927536149,66,0.42424242424242425,-0.5555555555555556,1.6363636363636362,66,0.030303030303030304,0.0,0.09090909090909091,False
bbq_v,qwen25_vl_7b,M3,Christian,93,93,-0.03225806451612903,-0.09575490998363335,0.0,93,-1.053763440860215,-6.289137700534754,2.2151019476567284,93,-0.010752688172043012,-1.9230769230769234,1.3611458333333333,93,0.03225806451612903,0.0,0.09575490998363333,False
bbq_v,qwen25_vl_7b,M3,low SES,221,221,0.004524886877828055,0.0,0.015079203122209967,221,-0.45248868778280543,-2.560552206608736,1.6559137260163719,221,-0.33031674208144796,-0.9111698717948719,0.030000000000000027,221,-0.00904977375565611,-0.03000187969924812,0.0,False
bbq_v,qwen25_vl_7b,M3,gay,139,139,0.014388489208633094,-0.04054054054054057,0.07692307692307687,139,-1.7122302158273381,-5.269414893617026,1.6529305420515241,139,-0.5107913669064749,-2.292102272727272,1.4173214285714248,139,-0.02158273381294964,-0.07758829929695346,0.025212743325178158,False
bbq_v,qwen25_vl_7b,M3,lesbian,79,79,-0.02531645569620253,-0.16666666666666663,0.12069439181508146,79,-1.8481012658227849,-8.398015873015868,4.643009118541029,79,-0.569620253164557,-3.5593060661764704,4.59090909090909,79,0.02531645569620253,-0.11637209302325581,0.15789473684210528,False
bbq_v,qwen3_vl_30b_a3b,M3,old,100,100,-0.02,-0.08333333333333326,0.03191489361702127,100,-5.13,-9.895465116279066,-1.1242187500000043,100,-0.37,-2.372349521203831,1.1144458128078822,100,0.03,-0.02501602564102566,0.09523809523809523,False
bbq_v,qwen3_vl_30b_a3b,M3,nonOld,122,122,-0.00819672131147541,-0.027406773211567727,0.0,122,-1.2704918032786885,-3.400080645161296,0.6458733974358926,122,-0.00819672131147541,-0.5978260869565215,0.5334090909090904,122,-0.01639344262295082,-0.05882352941176471,0.019230769230769225,False
bbq_v,qwen3_vl_30b_a3b,M3,disabled,222,222,-0.018018018018018018,-0.049507784747940486,0.0052631578947367474,222,-3.3423423423423424,-5.254251548239887,-1.5658516988062439,222,-0.40540540540540543,-1.5492969900589104,0.5658947368421048,222,-0.02252252252252252,-0.057972631987577634,0.010204081632653059,False
bbq_v,qwen3_vl_30b_a3b,M3,physically disabled,74,74,-0.02702702702702703,-0.08823529411764708,0.0,74,-1.6486486486486487,-4.421132376395532,1.2399703557312216,74,0.04054054054054054,-0.6288827838827838,0.6613205645161292,74,-0.013513513513513514,-0.08064516129032258,0.03573606271776991,False
bbq_v,qwen3_vl_30b_a3b,M3,mentally-ill,58,58,-0.017241379310344827,-0.05555555555555558,0.0,58,-3.896551724137931,-6.7648590686274375,-1.6110119047619085,58,-0.8103448275862069,-4.394093406593406,1.5252083333333322,58,-0.017241379310344827,-0.08333333333333333,0.041666666666666664,False
bbq_v,qwen3_vl_30b_a3b,M3,F,128,128,-0.0078125,-0.025000000000000022,0.0,128,-3.0859375,-5.265691692073171,-1.1073305084745881,128,0.125,-0.19136859462201924,0.5326268115942029,128,-0.0078125,-0.02727272727272727,0.0,False
bbq_v,qwen3_vl_30b_a3b,M3,M,60,60,-0.016666666666666666,-0.05405405405405406,0.0,60,-0.65,-3.1796875000000027,2.030735930735929,60,0.0,0.0,0.0,60,0.0,0.0,0.0,False
bbq_v,qwen3_vl_30b_a3b,M3,Eritrean,76,76,-0.013157894736842105,-0.04761904761904756,0.0,76,-1.618421052631579,-4.077034883720933,0.458374999999995,76,0.32894736842105265,-1.3934523809523813,1.8443513898788306,76,0.0,-0.040568693693693696,0.03922213622291018,False
