dataset,model,comparison_id,cond_a,cond_b,n_paired,n_judgeable_common,acc_a,acc_b,delta_acc_pp,acc_delta_pp_ci_lo,acc_delta_pp_ci_hi,n_same_answer,pct_same_answer,n_same_correct,pct_same_correct,trans_correct_to_correct,trans_correct_to_wrong,trans_wrong_to_correct,trans_wrong_to_wrong,mcnemar_b_correct_to_wrong,mcnemar_c_wrong_to_correct,mcnemar_n_discordant,mcnemar_p_accuracy,pct_same_reasoning_text,n_input_hash_compared,pct_same_input_hash,rq_mean_a,rq_mean_b,rq_paired_mean_delta,rq_delta_ci_lo,rq_delta_ci_hi,rq_median_delta,rq_mae_delta,rq_pct_positive,rq_pct_negative,rq_pct_zero,bias_assessable_n_a,bias_assessable_n_b,bias_mean_a,bias_mean_b,bias_paired_common_n,bias_paired_mean_delta,bias_paired_ci_lo,bias_paired_ci_hi,bias_present_rate_a,bias_present_rate_b,bias_present_paired_n,trans_present_to_present,trans_present_to_absent,trans_absent_to_present,trans_absent_to_absent,bias_present_mcnemar_b_present_to_absent,bias_present_mcnemar_c_absent_to_present,bias_present_mcnemar_n_discordant,bias_present_mcnemar_p,bias_cond_severity_a,bias_cond_severity_a_n,bias_cond_severity_b,bias_cond_severity_b_n,bias_cond_severity_a_ci_lo,bias_cond_severity_a_ci_hi,bias_cond_severity_b_ci_lo,bias_cond_severity_b_ci_hi,bias_cond_severity_secondary_paired_n,bias_cond_severity_secondary_paired_delta,bias_null_n_a,bias_null_rate_a,bias_null_n_b,bias_null_rate_b,null_common_n,trans_assessable_to_assessable,trans_assessable_to_null,trans_null_to_assessable,trans_null_to_null
bbq,qwen25_vl_7b,M1,M1 larger batch,M0 baseline,2000,2000,0.887,0.889,-0.20000000000000018,-0.45000000000000595,0.0,1994,99.7,1994,99.7,1773,5,1,221,5,1,6,0.21875000000000017,63.3,2000,63.3,88.697,88.655,0.042,-0.1769999999999925,0.2635000000000076,0.0,1.574,14.149999999999999,15.25,70.6,2000,2000,5.6115,5.6395,2000,-0.028,-0.3185000000000002,0.2655249999999999,0.12,0.1245,2000,220,20,29,1731,20,29,49,0.2528697301676067,39.42916666666667,240,38.265060240963855,249,36.24166666666667,42.675,35.12449799196787,41.47811244979919,220,0.5954545454545455,0,0.0,0,0.0,2000,2000,0,0,0
bbq,qwen25_vl_7b,M2,M2 INT8,M0 baseline,2000,2000,0.8875,0.889,-0.15000000000000568,-0.649999999999995,0.30000000000000027,1977,98.85000000000001,1977,98.85000000000001,1765,13,10,212,13,10,23,0.6776394844055212,33.85,2000,33.800000000000004,88.6035,88.655,-0.0515,-0.38049999999999784,0.2765124999999985,0.0,3.0315,26.85,26.05,47.099999999999994,1999,2000,5.585292646323162,5.6395,1999,-0.05652826413206603,-0.5112931465732865,0.38919459729864947,0.12706353176588295,0.1245,1999,196,58,53,1692,58,53,111,0.7043793154248944,37.08661417322835,254,38.265060240963855,249,34.05905511811024,40.224409448818896,35.0722891566265,41.502008032128515,196,0.015306122448979591,1,0.0005,0,0.0,2000,1999,0,1,0
bbq,qwen25_vl_7b,M3,M3 INT4,M0 baseline,2000,2000,0.8445,0.889,-4.449999999999998,-5.499999999999994,-3.499999999999992,1881,94.05,1891,94.55,1679,99,10,212,99,10,109,1.4578362112535887e-19,7.9,2000,7.85,86.4705,88.655,-2.1845,-2.7945249999999993,-1.5744750000000007,0.0,6.4945,33.7,42.15,24.15,1999,2000,6.69184592296148,5.6395,1999,1.0500250125062531,0.466733366683342,1.6613431715857931,0.14457228614307155,0.1245,1999,174,115,75,1635,115,75,190,0.004537135222798085,40.37024221453287,289,38.265060240963855,249,37.536332179930795,43.29420415224914,35.17670682730924,41.441767068273094,174,0.7873563218390804,1,0.0005,0,0.0,2000,1999,0,1,0
bbq,qwen25_vl_7b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1000,1000,0.885,0.887,-0.20000000000000018,-0.5000000000000004,0.0,998,99.8,998,99.8,885,2,0,113,2,0,2,0.5,62.8,1000,62.8,88.301,88.297,0.004,-0.3049999999999926,0.3139999999999933,0.0,1.608,14.399999999999999,15.2,70.39999999999999,1000,1000,6.187,5.914,1000,0.273,-0.2370000000000001,0.7799999999999994,0.127,0.127,1000,113,14,14,859,14,14,28,0.9999999999999921,41.84251968503937,127,39.69291338582677,127,37.495866141732286,46.26791338582677,35.46456692913386,44.125984251968504,113,2.566371681415929,0,0.0,0,0.0,1000,1000,0,0,0
bbq,qwen25_vl_7b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1000,1000,0.887,0.887,0.0,-0.6000000000000005,0.6000000000000005,990,99.0,990,99.0,882,5,5,108,5,5,10,0.999999999999998,35.099999999999994,1000,35.0,88.196,88.297,-0.101,-0.5909999999999943,0.3840749999999993,0.0,3.107,27.0,24.9,48.1,1000,1000,5.67,5.914,1000,-0.244,-0.8789999999999996,0.3650000000000002,0.125,0.127,1000,98,27,29,846,27,29,56,0.8938530948350379,38.36,125,39.69291338582677,127,34.008,42.72,35.41712598425197,44.04803149606298,98,1.653061224489796,0,0.0,0,0.0,1000,1000,0,0,0
bbq,qwen3_vl_30b_a3b,M1,M1 larger batch,M0 baseline,2000,2000,0.8715,0.872,-0.04999999999999449,-0.5000000000000004,0.40000000000000036,1975,98.75,1979,98.95,1733,11,10,246,11,10,21,1.0,61.45,2000,61.0,89.45,89.6595,-0.2095,-0.5070124999999912,0.09001250000000294,0.0,2.0585,14.95,17.299999999999997,67.75,1999,1999,6.472736368184092,6.504252126063031,1999,-0.03151575787893947,-0.43271635817908916,0.3721860930465235,0.1375687843921961,0.13856928464232116,1999,238,37,39,1685,37,39,76,0.9087769252755064,40.78181818181818,275,40.72202166064982,277,37.949090909090906,43.658272727272724,37.87707581227437,43.584837545126355,238,0.1722689075630252,1,0.0005,1,0.0005,2000,1999,0,0,1
bbq,qwen3_vl_30b_a3b,M2,M2 INT8,M0 baseline,2000,2000,0.873,0.872,0.10000000000000009,-0.5999999999999894,0.8000000000000007,1946,97.3,1952,97.6,1721,23,25,231,23,25,48,0.88543349728651,39.0,2000,38.7,89.374,89.6595,-0.2855,-0.6655249999999945,0.09801249999999885,0.0,3.2085,23.799999999999997,25.35,50.849999999999994,2000,1999,6.655,6.504252126063031,1999,0.1535767883941971,-0.3191595797898943,0.6313406703351675,0.1315,0.13856928464232116,1999,218,45,59,1677,45,59,104,0.20217310609618408,44.00380228136882,263,40.72202166064982,277,40.95427756653992,47.05750950570342,37.848285198555956,43.56678700361011,218,1.2935779816513762,0,0.0,1,0.0005,2000,1999,1,0,0
bbq,qwen3_vl_30b_a3b,M3,M3 INT4,M0 baseline,2000,2000,0.83,0.872,-4.200000000000004,-5.299999999999994,-3.1000000000000028,1861,93.05,1874,93.7,1639,105,21,235,105,21,126,1.2546250479235127e-14,17.299999999999997,2000,17.1,87.539,89.6595,-2.1205,-2.692025000000007,-1.5499999999999972,0.0,5.4905,29.2,38.25,32.550000000000004,2000,1999,7.344,6.504252126063031,1999,0.8429214607303652,0.2456103051525761,1.4522511255627817,0.154,0.13856928464232116,1999,205,103,72,1619,103,72,175,0.023068184897691583,42.1948051948052,308,40.72202166064982,277,39.4122564935065,44.99683441558441,37.851895306859205,43.64990974729242,205,-0.06341463414634146,0,0.0,1,0.0005,2000,1999,1,0,0
bbq,qwen3_vl_30b_a3b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1000,1000,0.873,0.874,-0.10000000000000009,-0.6000000000000005,0.40000000000000036,992,99.2,993,99.3,870,4,3,123,4,3,7,1.0,62.7,1000,62.3,89.197,89.631,-0.434,-0.8230000000000075,-0.05400000000000169,0.0,2.012,13.8,17.5,68.7,1000,999,6.747,6.468468468468468,999,0.28428428428428426,-0.20920920920920863,0.8118118118118121,0.14,0.14314314314314314,999,124,16,19,840,16,19,35,0.7358788008568824,42.05,140,39.2027972027972,143,37.892857142857146,46.47857142857143,35.20979020979021,43.34965034965035,124,0.8306451612903226,0,0.0,1,0.001,1000,999,1,0,0
bbq,qwen3_vl_30b_a3b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1000,1000,0.875,0.874,0.10000000000000009,-0.8000000000000007,1.0000000000000009,975,97.5,979,97.89999999999999,864,10,11,115,10,11,21,1.0,39.7,1000,39.2,89.28,89.631,-0.351,-0.9000250000000054,0.22002499999999825,0.0,3.461,23.400000000000002,25.8,50.8,1000,999,6.649,6.468468468468468,999,0.18618618618618618,-0.4144644644644646,0.8048298298298295,0.132,0.14314314314314314,999,114,18,29,838,18,29,47,0.14386508844054707,43.79545454545455,132,39.2027972027972,143,39.52253787878788,48.10606060606061,35.097727272727276,43.35664335664335,114,3.043859649122807,0,0.0,1,0.001,1000,999,1,0,0
bbq_v,qwen25_vl_7b,M1,M1 larger batch,M0 baseline,1998,1998,0.8878878878878879,0.8873873873873874,0.05005005005004337,-0.25025025025025016,0.350350350350348,1988,99.4994994994995,1989,99.54954954954955,1769,4,5,220,4,5,9,0.9999999999999972,60.51051051051051,1998,60.46046046046046,77.77477477477477,77.83533533533533,-0.06056056056056056,-0.4404404404404403,0.3133133133133157,0.0,3.7272272272272273,18.06806806806807,18.41841841841842,63.51351351351351,1995,1998,3.8451127819548874,3.8033033033033035,1995,0.03759398496240601,-0.23909774436090192,0.3162907268170425,0.07318295739348371,0.07357357357357357,1995,121,25,26,1823,25,26,51,0.9999999999999667,39.87671232876713,146,39.10204081632653,147,36.06849315068493,43.76044520547945,35.183673469387756,43.08860544217687,121,-0.8512396694214877,3,0.0015015015015015015,0,0.0,1998,1995,0,3,0
bbq_v,qwen25_vl_7b,M2,M2 INT8,M0 baseline,1998,1998,0.8798798798798799,0.8873873873873874,-0.7507507507507505,-1.3513513513513487,-0.2002002002001957,1956,97.8978978978979,1963,98.24824824824825,1748,25,10,215,25,10,35,0.016673847800120795,27.77777777777778,1998,27.72772772772773,77.87237237237237,77.83533533533533,0.037037037037037035,-0.49600850850850975,0.5480605605605715,0.0,7.005005005005005,33.033033033033036,33.33333333333333,33.633633633633636,1995,1998,4.106265664160401,3.8033033033033035,1995,0.2987468671679198,-0.058659147869674286,0.6611528822055139,0.07969924812030076,0.07357357357357357,1995,115,44,32,1804,44,32,76,0.20673684180839466,39.9748427672956,159,39.10204081632653,147,36.28915094339622,43.729559748427675,35.224489795918366,43.00017006802721,115,-0.12173913043478261,3,0.0015015015015015015,0,0.0,1998,1995,0,3,0
