dataset,fraction,metric,higher_is_better_for_qwen3,full_m0_gap,n_draws,model_ordering_preservation_rate,fraction_reversing_sign,fraction_exact_zero_gap,median_abs_deviation_from_full_gap,p95_abs_deviation_from_full_gap
bbq,75%,accuracy,True,-0.017000000000000015,1000,1.0,0.0,0.0,0.0030000000000000027,0.009666666666666601
bbq,50%,accuracy,True,-0.017000000000000015,1000,0.978,0.013,0.009,0.0050000000000000044,0.015000000000000013
bbq,37%,accuracy,True,-0.017000000000000015,1000,0.954,0.032,0.014,0.0070641711229946225,0.019096256684491997
bbq,25%,accuracy,True,-0.017000000000000015,1000,0.876,0.096,0.028,0.009000000000000008,0.025000000000000022
bbq,smallest,accuracy,True,-0.017000000000000015,1000,0.777,0.178,0.045,0.01296774193548389,0.04119354838709677
bbq,75%,reasoning_quality,True,1.004499999999993,1000,1.0,0.0,0.0,0.1419999999999959,0.39939999999999193
bbq,50%,reasoning_quality,True,1.004499999999993,1000,1.0,0.0,0.0,0.24399999999999977,0.6746500000000089
bbq,37%,reasoning_quality,True,1.004499999999993,1000,0.986,0.014,0.0,0.3226818181818061,0.8671336898395627
bbq,25%,reasoning_quality,True,1.004499999999993,1000,0.946,0.054,0.0,0.4035000000000082,1.1920500000000043
bbq,smallest,reasoning_quality,True,1.004499999999993,1000,0.852,0.146,0.002,0.6698225806451532,1.9077258064516087
bbq,75%,bias_score,False,0.8647521260630313,1000,1.0,0.0,0.0,0.15543755594719766,0.4486121236791407
bbq,50%,bias_score,False,0.8647521260630313,1000,0.986,0.014,0.0,0.2773288288288289,0.764453266723452
bbq,37%,bias_score,False,0.8647521260630313,1000,0.94,0.06,0.0,0.3498504911795579,1.0272319920510475
bbq,25%,bias_score,False,0.8647521260630313,1000,0.9,0.1,0.0,0.48557114228456877,1.3271136677055957
bbq,smallest,bias_score,False,0.8647521260630313,1000,0.817,0.183,0.0,0.6433123900660012,2.046422074747051
bbq,75%,bias_present_rate,False,0.014069284642321156,1000,0.996,0.004,0.0,0.0033105566014049737,0.00876235617808902
bbq,50%,bias_present_rate,False,0.014069284642321156,1000,0.967,0.026,0.007,0.005078363005326478,0.015070955597919088
bbq,37%,bias_present_rate,False,0.014069284642321156,1000,0.919,0.072,0.009,0.007220141187933189,0.02075377662093078
bbq,25%,bias_present_rate,False,0.014069284642321156,1000,0.852,0.127,0.021,0.009930715357678851,0.026223901730424343
bbq,smallest,bias_present_rate,False,0.014069284642321156,1000,0.741,0.219,0.04,0.014156521809291736,0.03923868208755013
bbq_v,75%,accuracy,True,0.03453453453453448,1000,1.0,0.0,0.0,0.003826089106462982,0.011774190297680237
bbq_v,50%,accuracy,True,0.03453453453453448,1000,1.0,0.0,0.0,0.00670724146069257,0.01932309256559281
bbq_v,37%,accuracy,True,0.03453453453453448,1000,0.992,0.005,0.003,0.008573582061428331,0.02562091624591621
bbq_v,25%,accuracy,True,0.03453453453453448,1000,0.976,0.018,0.006,0.011933866952454408,0.03453453453453448
bbq_v,smallest,accuracy,True,0.03453453453453448,1000,0.914,0.064,0.022,0.017189603396499997,0.048805010046017325
bbq_v,75%,reasoning_quality,True,7.321821821821828,1000,1.0,0.0,0.0,0.18969004085131758,0.5363099537330897
bbq_v,50%,reasoning_quality,True,7.321821821821828,1000,1.0,0.0,0.0,0.3434122343046724,0.9824123614682306
bbq_v,37%,reasoning_quality,True,7.321821821821828,1000,1.0,0.0,0.0,0.42435236527464326,1.193102608422372
bbq_v,25%,reasoning_quality,True,7.321821821821828,1000,1.0,0.0,0.0,0.554375496185834,1.5750665462802513
bbq_v,smallest,reasoning_quality,True,7.321821821821828,1000,1.0,0.0,0.0,0.8218218218218283,2.3410325399179657
bbq_v,75%,bias_score,False,-0.6226226226226226,1000,0.999,0.001,0.0,0.1349695625858418,0.41083640894862394
bbq_v,50%,bias_score,False,-0.6226226226226226,1000,0.963,0.037,0.0,0.24623416172711932,0.712048735911149
bbq_v,37%,bias_score,False,-0.6226226226226226,1000,0.923,0.075,0.002,0.30379672662496837,0.8646651300070333
bbq_v,25%,bias_score,False,-0.6226226226226226,1000,0.842,0.158,0.0,0.4243516359267896,1.1324829163922452
bbq_v,smallest,bias_score,False,-0.6226226226226226,1000,0.745,0.253,0.002,0.6053928259810613,1.8463530155407772
bbq_v,75%,bias_present_rate,False,-0.01401401401401401,1000,0.998,0.0,0.002,0.003016940658120325,0.009166330989235758
bbq_v,50%,bias_present_rate,False,-0.01401401401401401,1000,0.967,0.023,0.01,0.0050942126640112564,0.014972217870043963
bbq_v,37%,bias_present_rate,False,-0.01401401401401401,1000,0.925,0.062,0.013,0.0066045426870169205,0.019376664998475946
bbq_v,25%,bias_present_rate,False,-0.01401401401401401,1000,0.83,0.146,0.024,0.009657616080029872,0.02456353422042962
bbq_v,smallest,bias_present_rate,False,-0.01401401401401401,1000,0.74,0.208,0.052,0.013958013958013958,0.040946358777684065
