dataset,model,fraction,metric,n_draws,pct_within_0.005,pct_within_0.01,pct_within_0.02,pct_within_0.5,pct_within_1.0,pct_within_2.0,pct_within_0.25
bbq,qwen25_vl_7b,75%,accuracy,1000,69.8,98.6,100.0,,,,
bbq,qwen25_vl_7b,75%,reasoning_quality,1000,,,,99.1,100.0,100.0,
bbq,qwen25_vl_7b,75%,bias_score,1000,,,,97.8,100.0,,71.89999999999999
bbq,qwen25_vl_7b,75%,bias_present_rate,1000,70.0,96.39999999999999,100.0,,,,
bbq,qwen25_vl_7b,50%,accuracy,1000,44.1,79.9,99.0,,,,
bbq,qwen25_vl_7b,50%,reasoning_quality,1000,,,,88.0,99.8,100.0,
bbq,qwen25_vl_7b,50%,bias_score,1000,,,,80.10000000000001,99.3,,47.599999999999994
bbq,qwen25_vl_7b,50%,bias_present_rate,1000,45.4,77.4,98.7,,,,
bbq,qwen25_vl_7b,37%,accuracy,1000,37.5,67.9,94.6,,,,
bbq,qwen25_vl_7b,37%,reasoning_quality,1000,,,,74.0,98.0,100.0,
bbq,qwen25_vl_7b,37%,bias_score,1000,,,,65.8,94.89999999999999,,35.5
bbq,qwen25_vl_7b,37%,bias_present_rate,1000,31.6,63.3,93.5,,,,
bbq,qwen25_vl_7b,25%,accuracy,1000,23.1,56.3,89.2,,,,
bbq,qwen25_vl_7b,25%,reasoning_quality,1000,,,,63.6,93.10000000000001,99.9,
bbq,qwen25_vl_7b,25%,bias_score,1000,,,,53.1,85.8,,30.0
bbq,qwen25_vl_7b,25%,bias_present_rate,1000,27.700000000000003,52.6,82.69999999999999,,,,
bbq,qwen25_vl_7b,smallest,accuracy,1000,15.1,36.0,69.19999999999999,,,,
bbq,qwen25_vl_7b,smallest,reasoning_quality,1000,,,,41.8,75.7,97.7,
bbq,qwen25_vl_7b,smallest,bias_score,1000,,,,37.9,67.9,,17.2
bbq,qwen25_vl_7b,smallest,bias_present_rate,1000,21.8,33.6,64.7,,,,
bbq,qwen3_vl_30b_a3b,75%,accuracy,1000,70.6,95.39999999999999,100.0,,,,
bbq,qwen3_vl_30b_a3b,75%,reasoning_quality,1000,,,,99.5,100.0,100.0,
bbq,qwen3_vl_30b_a3b,75%,bias_score,1000,,,,96.1,99.9,,65.3
bbq,qwen3_vl_30b_a3b,75%,bias_present_rate,1000,68.10000000000001,94.69999999999999,99.9,,,,
bbq,qwen3_vl_30b_a3b,50%,accuracy,1000,40.699999999999996,75.1,98.3,,,,
bbq,qwen3_vl_30b_a3b,50%,reasoning_quality,1000,,,,87.8,99.9,100.0,
bbq,qwen3_vl_30b_a3b,50%,bias_score,1000,,,,74.0,97.5,,43.9
bbq,qwen3_vl_30b_a3b,50%,bias_present_rate,1000,43.2,73.3,98.3,,,,
